content_key,level_code,pattern,pattern_ruby,romaji_ko,connection,meaning_ko,usage_note,example_ja,example_ko,example_ruby,politeness,source,verify,note
jlpt.n1.grammar.0001,N1,～めく,～めく,-,名詞 + めく,~다워지다; ~기운이 돌다.,그런 기색이나 분위기가 나타남.,三月に入り日ざしが春めいてきた。,3월이 되어 햇살이 봄기운을 띠기 시작했다.,{三月|さん|がつ}に{入|はい}り{日|ひ}ざしが{春|はる}めいてきた。,casual,ref_only:tanos_grammar+official_sample,draft,Tanos:N1 · 자작예문
jlpt.n1.grammar.0002,N1,～と思いきや,～と{思|おも}いきや,-,普通形 + と思いきや,~라고 생각했더니 뜻밖에.,예상과 반대되는 결과에 놀람.,簡単だと思いきや意外に難しかった。,간단할 줄 알았더니 의외로 어려웠다.,{簡単|かん|たん}だと{思|おも}いきや{意外|い|がい}に{難|むずか}しかった。,casual,ref_only:tanos_grammar+official_sample,draft,Tanos:N1 · 자작예문
jlpt.n1.grammar.0003,N1,～が早いか,～が{早|はや}いか,-,動詞辞書形 + が早いか,~하자마자.,거의 동시에 다음 동작이 일어남; 문어적.,彼はベルが鳴るが早いか教室を出た。,그는 벨이 울리자마자 교실을 나갔다.,{彼|かれ}はベルが{鳴|な}るが{早|はや}いか{教室|きょう|しつ}を{出|で}た。,casual,ref_only:tanos_grammar+official_sample,draft,Tanos:N1 · 자작예문
jlpt.n1.grammar.0004,N1,ただ～のみ,ただ～のみ,-,名詞/動詞辞書形 + のみ,오직 ~뿐.,「だけ」의 문어적 한정 표현.,今はただ結果を待つのみだ。,지금은 그저 결과를 기다릴 뿐이다.,{今|いま}はただ{結果|けっ|か}を{待|ま}つのみだ。,casual,ref_only:tanos_grammar+official_sample,draft,Tanos:N1 · 자작예문
jlpt.n1.grammar.0005,N1,～なり,～なり,-,動詞辞書形 + なり,~하자마자; ~하기가 무섭게.,직후에 예상 밖의 동작; 문어적.,彼は席に着くなり話し始めた。,그는 자리에 앉자마자 이야기하기 시작했다.,{彼|かれ}は{席|せき}に{着|つ}くなり{話|はな}し{始|はじ}めた。,casual,ref_only:tanos_grammar+official_sample,draft,Tanos:N1 · 자작예문
jlpt.n1.grammar.0006,N1,～や否や,～や{否|いな}や,-,動詞辞書形 + や否や,~하자마자.,두 동작의 동시성을 강조; 문어적.,家に着くや否や雨が降り出した。,집에 도착하자마자 비가 내리기 시작했다.,{家|いえ}に{着|つ}くや{否|いな}や{雨|あめ}が{降|ふ}り{出|だ}した。,casual,ref_only:tanos_grammar+official_sample,draft,Tanos:N1 · 자작예문
jlpt.n1.grammar.0007,N1,～ごとき,～ごとき,-,名詞 + ごとき,~같은; ~따위.,비유 또는 경시의 뉘앙스; 문어체.,私ごときにできるはずがない。,나 따위가 할 수 있을 리 없다.,{私|わたし}ごときにできるはずがない。,casual,ref_only:tanos_grammar+official_sample,draft,Tanos:N1 · 자작예문
jlpt.n1.grammar.0008,N1,～を皮切りに,～を{皮切|かわ|き}りに,-,名詞 + を皮切りに,~을 시작으로.,그 뒤로 같은 일이 잇따라 이어짐.,東京を皮切りに全国で公演する。,도쿄를 시작으로 전국에서 공연한다.,{東京|とう|きょう}を{皮切|かわ|き}りに{全国|ぜん|こく}で{公演|こう|えん}する。,casual,ref_only:tanos_grammar+official_sample,draft,Tanos:N1 · 자작예문
jlpt.n1.grammar.0009,N1,～をもって,～をもって,-,名詞 + をもって,~로써; ~을 기해.,수단이나 기한을 나타냄; 격식체.,本日をもって受付を終了する。,오늘로써 접수를 종료한다.,{本日|ほん|じつ}をもって{受付|うけ|つけ}を{終了|しゅう|りょう}する。,casual,ref_only:tanos_grammar+official_sample,draft,Tanos:N1 · 자작예문
jlpt.n1.grammar.0010,N1,～が最後,～が{最後|さい|ご},-,動詞た形 + が最後,~하면 그걸로 끝.,일단 하면 반드시 나쁜 결과; 문어적.,彼は寝たが最後朝まで起きない。,그는 한번 자면 아침까지 안 일어난다.,{彼|かれ}は{寝|ね}たが{最後|さい|ご}{朝|あさ}まで{起|お}きない。,casual,ref_only:tanos_grammar+official_sample,draft,Tanos:N1 · 자작예문
jlpt.n1.grammar.0011,N1,～まみれ,～まみれ,-,名詞 + まみれ,~투성이.,더러운 것이 온통 묻어 있음.,子どもは泥まみれになって遊んだ。,아이는 진흙투성이가 되어 놀았다.,{子|こ}どもは{泥|どろ}まみれになって{遊|あそ}んだ。,casual,ref_only:tanos_grammar+official_sample,draft,Tanos:N1 · 자작예문
jlpt.n1.grammar.0012,N1,～とあれば,～とあれば,-,名詞/普通形 + とあれば,~라면 특별히.,그 상황이라면 당연히 그렇게 함.,子どものためとあれば何でもする。,아이를 위해서라면 무엇이든 한다.,{子|こ}どものためとあれば{何|なん}でもする。,casual,ref_only:tanos_grammar+official_sample,draft,Tanos:N1 · 자작예문
jlpt.n1.grammar.0013,N1,～ともなると,～ともなると,-,名詞/動詞辞書形 + ともなると,~쯤 되면.,높은 단계가 되면 당연히 달라짐.,専門家ともなると意見が違う。,전문가쯤 되면 의견이 다르다.,{専門家|せん|もん|か}ともなると{意見|い|けん}が{違|ちが}う。,casual,ref_only:tanos_grammar+official_sample,draft,Tanos:N1 · 자작예문
jlpt.n1.grammar.0014,N1,～なくしては,～なくしては,-,名詞 + なくしては,~없이는.,그것이 없으면 불가능함; 문어적.,努力なくしては成功はない。,노력 없이는 성공은 없다.,{努力|ど|りょく}なくしては{成功|せい|こう}はない。,casual,ref_only:tanos_grammar+official_sample,draft,Tanos:N1 · 자작예문
jlpt.n1.grammar.0015,N1,～なしに,～なしに,-,名詞 + なしに,~없이.,~하지 않고 무언가를 함; 문어적.,許可なしに入ってはいけない。,허가 없이 들어가서는 안 된다.,{許可|きょ|か}なしに{入|はい}ってはいけない。,casual,ref_only:tanos_grammar+official_sample,draft,Tanos:N1 · 자작예문
jlpt.n1.grammar.0016,N1,～ならでは,～ならでは,-,名詞 + ならでは,~만의; ~이 아니고서는.,그것만의 독특함을 칭찬함.,これは職人ならではの技だ。,이것은 장인만의 솜씨다.,これは{職人|しょく|にん}ならではの{技|わざ}だ。,casual,ref_only:tanos_grammar+official_sample,draft,Tanos:N1 · 자작예문
jlpt.n1.grammar.0017,N1,～に足る,～に{足|た}る,-,動詞辞書形/名詞 + に足る,~하기에 충분한; ~할 만한.,그럴 만한 가치가 있음; 문어적.,彼は信頼するに足る人物だ。,그는 신뢰할 만한 인물이다.,{彼|かれ}は{信頼|しん|らい}するに{足|た}る{人物|じん|ぶつ}だ。,casual,ref_only:tanos_grammar+official_sample,draft,Tanos:N1 · 자작예문
jlpt.n1.grammar.0018,N1,～とあって,～とあって,-,名詞/普通形 + とあって,~라서 특별히.,특별한 사정이라 당연한 결과가 됨.,連休とあって道路が混んでいる。,연휴라서 도로가 붐빈다.,{連休|れん|きゅう}とあって{道路|どう|ろ}が{混|こ}んでいる。,casual,ref_only:tanos_grammar+official_sample,draft,Tanos:N1 · 자작예문
jlpt.n1.grammar.0019,N1,～べく,～べく,-,動詞辞書形 + べく,~하기 위해.,목적을 나타냄; 문어적.,夢を叶えるべく努力を続ける。,꿈을 이루기 위해 노력을 계속한다.,{夢|ゆめ}を{叶|かな}えるべく{努力|ど|りょく}を{続|つづ}ける。,casual,ref_only:tanos_grammar+official_sample,draft,Tanos:N1 · 자작예문
jlpt.n1.grammar.0020,N1,～かたがた,～かたがた,-,名詞 + かたがた,~을 겸해서.,한 행동에 두 목적을 둠; 격식·문어.,お礼かたがた挨拶に伺った。,감사 인사도 겸해서 찾아뵈었다.,お{礼|れい}かたがた{挨拶|あい|さつ}に{伺|うかが}った。,humble,ref_only:tanos_grammar+official_sample,draft,Tanos:N1 · 자작예문
jlpt.n1.grammar.0021,N1,～たところで,～たところで,-,動詞た形 + ところで,~해 봤자.,해도 소용없음을 나타냄.,今さら急いだところで間に合わない。,이제 와서 서둘러 봤자 늦는다.,{今|いま}さら{急|いそ}いだところで{間|ま}に{合|あ}わない。,casual,ref_only:tanos_grammar+official_sample,draft,Tanos:N1 · 자작예문
jlpt.n1.grammar.0022,N1,～であれ,～であれ,-,名詞 + であれ,~일지라도; ~이든.,어떤 경우든 상관없음.,どんな理由であれ暴力は許されない。,어떤 이유일지라도 폭력은 용납되지 않는다.,どんな{理由|り|ゆう}であれ{暴力|ぼう|りょく}は{許|ゆる}されない。,casual,ref_only:tanos_grammar+official_sample,draft,Tanos:N1 · 자작예문
jlpt.n1.grammar.0023,N1,～にたえない,～にたえない,-,名詞/動詞辞書形 + にたえない,차마 ~할 수 없다; ~를 금할 수 없다.,견딜 수 없을 만큼임; 문어적.,その光景は見るにたえない。,그 광경은 차마 볼 수 없다.,その{光景|こう|けい}は{見|み}るにたえない。,casual,ref_only:tanos_grammar+official_sample,draft,Tanos:N1 · 자작예문
jlpt.n1.grammar.0024,N1,～を限りに,～を{限|かぎ}りに,-,名詞（時） + を限りに,~을 마지막으로.,그 시점 이후로 끝냄.,本日を限りに営業を終える。,오늘을 마지막으로 영업을 끝낸다.,{本日|ほん|じつ}を{限|かぎ}りに{営業|えい|ぎょう}を{終|お}える。,casual,ref_only:tanos_grammar+official_sample,draft,Tanos:N1 · 자작예문
jlpt.n1.grammar.0025,N1,～ところを,～ところを,-,動詞/形容詞 + ところを,~인 상황인데도; ~인 때에.,그런 상황임에도 감사·사과할 때.,お忙しいところをありがとうございます。,바쁘신 와중에 감사합니다.,お{忙|いそが}しいところをありがとうございます。,polite,ref_only:tanos_grammar+official_sample,draft,Tanos:N1 · 자작예문
jlpt.n1.grammar.0026,N1,～に即して,～に{即|そく}して,-,名詞 + に即して,~에 입각하여.,사실이나 규범에 따름.,事実に即して報告する。,사실에 입각하여 보고한다.,{事実|じ|じつ}に{即|そく}して{報告|ほう|こく}する。,casual,ref_only:tanos_grammar+official_sample,draft,Tanos:N1 · 자작예문
jlpt.n1.grammar.0027,N1,～とはいえ,～とはいえ,-,名詞/普通形 + とはいえ,~라고는 해도.,인정하지만 실제는 다름.,春とはいえまだ寒い。,봄이라고는 해도 아직 춥다.,{春|はる}とはいえまだ{寒|さむ}い。,casual,ref_only:tanos_grammar+official_sample,draft,Tanos:N1 · 자작예문
jlpt.n1.grammar.0028,N1,～ものを,～ものを,-,普通形 + ものを,~것을 아쉬움·원망.,그랬으면 좋았을 텐데 하는 유감.,言ってくれれば助けたものを。,말해 줬으면 도왔을 텐데.,{言|い}ってくれれば{助|たす}けたものを。,casual,ref_only:tanos_grammar+official_sample,draft,Tanos:N1 · 자작예문
jlpt.n1.grammar.0029,N1,～ようが,～ようが,-,動詞意向形 + が,~하든.,어떻게 하든 상관없음.,誰が何と言おうが気にしない。,누가 뭐라고 하든 신경 쓰지 않는다.,{誰|だれ}が{何|なん}と{言|い}おうが{気|き}にしない。,casual,ref_only:tanos_grammar+official_sample,draft,Tanos:N1 · 자작예문
jlpt.n1.grammar.0030,N1,～いかん,～いかん,-,名詞（の） + いかん,~여하; ~에 따라.,그것에 달려 있음; 문어적.,結果いかんで方針を変える。,결과 여하에 따라 방침을 바꾼다.,{結果|けっ|か}いかんで{方針|ほう|しん}を{変|か}える。,casual,ref_only:tanos_grammar+official_sample,draft,Tanos:N1 · 자작예문
jlpt.n1.grammar.0031,N1,～と相まって,～と{相|あい}まって,-,名詞 + と相まって,~와 어우러져.,두 요소가 상승 작용을 함.,才能は努力と相まって花開いた。,재능은 노력과 어우러져 꽃피웠다.,{才能|さい|のう}は{努力|ど|りょく}と{相|あい}まって{花|はな}{開|ひら}いた。,casual,ref_only:tanos_grammar+official_sample,draft,Tanos:N1 · 자작예문
jlpt.n1.grammar.0032,N1,～をよそに,～をよそに,-,名詞 + をよそに,~을 아랑곳하지 않고.,주위의 우려나 반대를 무시함.,親の心配をよそに彼は旅に出た。,부모의 걱정을 아랑곳하지 않고 그는 여행을 떠났다.,{親|おや}の{心配|しん|ぱい}をよそに{彼|かれ}は{旅|たび}に{出|で}た。,casual,ref_only:tanos_grammar+official_sample,draft,Tanos:N1 · 자작예문
jlpt.n1.grammar.0033,N1,～ないまでも,～ないまでも,-,動詞ない形 + までも,~하지는 않더라도.,그 정도는 아니어도 최소한 이 정도는.,毎日とは言わないまでも週に一度は運動したい。,매일까지는 아니더라도 주에 한 번은 운동하고 싶다.,{毎日|まい|にち}とは{言|い}わないまでも{週|しゅう}に{一度|いち|ど}は{運動|うん|どう}したい。,casual,ref_only:tanos_grammar+official_sample,draft,Tanos:N1 · 자작예문
jlpt.n1.grammar.0034,N1,～てもさしつかえない,～てもさしつかえない,-,動詞て形+もさしつかえない,~해도 지장이 없다; ~해도 괜찮다.,허가·용인의 딱딱한 문어 표현.,少し休んでもさしつかえない。,조금 쉬어도 괜찮다.,{少|すこ}し{休|やす}んでもさしつかえない。,casual,ref_only:tanos_grammar+official_sample,draft,Tanos:N1 · 자작예문
jlpt.n1.grammar.0035,N1,～たる,～たる,-,名詞+たる,~인 자; ~된 입장의.,지위·자격을 강조하는 문어체.,教師たる者は模範を示すべきだ。,교사인 자는 모범을 보여야 한다.,{教師|きょう|し}たる{者|もの}は{模範|も|はん}を{示|しめ}すべきだ。,-,ref_only:tanos_grammar+official_sample,draft,Tanos:N1 · 자작예문
jlpt.n1.grammar.0036,N1,～まじき,～まじき,-,動詞辞書形+まじき,~해서는 안 될; 있어서는 안 될.,강한 비난·금지의 문어체. あるまじき 관용.,それは教師にあるまじき行為だ。,그것은 교사로서 있어서는 안 될 행위다.,それは{教師|きょう|し}にあるまじき{行為|こう|い}だ。,-,ref_only:tanos_grammar+official_sample,draft,Tanos:N1 · 자작예문
jlpt.n1.grammar.0037,N1,～極まる,～{極|きわ}まる,-,ナ形容詞語幹+極まる,극도로 ~하다; ~하기 짝이 없다.,감정이 극에 달함을 나타내는 문어체.,彼の態度は失礼極まる。,그의 태도는 무례하기 짝이 없다.,{彼|かれ}の{態度|たい|ど}は{失礼|しつ|れい}{極|きわ}まる。,-,ref_only:tanos_grammar+official_sample,draft,Tanos:N1 · 자작예문
jlpt.n1.grammar.0038,N1,～にかこつけて,～にかこつけて,-,名詞+にかこつけて,~을 구실로; ~을 핑계 삼아.,다른 일을 구실로 삼는 부정적 뉘앙스.,仕事にかこつけて飲みに行く。,일을 핑계 삼아 술 마시러 간다.,{仕事|し|ごと}にかこつけて{飲|の}みに{行|い}く。,casual,ref_only:tanos_grammar+official_sample,draft,Tanos:N1 · 자작예문
