N1_선정_400_shortlist_방법검증_예문없음_감수전
sel_rank,orig_rank,word,reading,편중도z,상위장르,zipf,tanos_tag,감수우선
1,1,即する,そくする,4.253,논설·행정,1.12,N1,저빈도
2,2,結び付く,むすびつく,3.957,학술,2.35,N1,
3,3,報ずる,ほうずる,3.915,논설·행정,1.6,N1,
4,4,就業,しゅうぎょう,3.905,행정백서,3.54,N1,
5,5,取り組む,とりくむ,3.834,논설·행정,3.73,N1,
6,6,仮令,たとい,3.728,학술,1.18,N1,저빈도
7,7,質疑,しつぎ,3.7,논설·행정,3.56,N1,
8,8,申し入れる,もうしいれる,3.556,논설·행정,1.95,N1,
9,9,拵える,こしらえる,3.48,문학,1.07,N1,문학고어의심+저빈도
10,10,財源,ざいげん,3.353,논설·행정,3.57,N1,
11,11,動向,どうこう,3.282,행정백서,3.89,N1,
12,12,取り引き,とりひき,3.278,법률,3.45,N1,
13,13,受け止める,うけとめる,3.268,논설·행정,3.43,N1,
14,14,引き下げる,ひきさげる,3.238,논설·행정,2.82,N1,
15,15,捕らえる,とらえる,3.22,논설·행정,3.11,N1,
16,16,諮る,はかる,3.197,논설·행정,1.95,N1,
17,17,寄与,きよ,3.184,행정백서,3.78,N1,
18,18,賃金,ちんぎん,3.173,행정백서,4.1,N1,
19,19,施行,しこう,3.167,법률,3.96,N1,
20,20,慣行,かんこう,3.156,행정백서,2.96,N1,
21,21,煙る,けむる,3.1,문학,1.77,N1,문학고어의심
22,22,差し引く,さしひく,3.057,행정백서,2.23,N1,
23,23,図る,はかる,3.03,논설·행정,4.03,N1,
24,24,差し支える,さしつかえる,3.013,문학,2.08,N1,문학고어의심
25,25,議決,ぎけつ,3.002,법률,3.28,N1,
26,26,取り調べる,とりしらべる,2.997,법률,1.95,N1,
27,27,退ける,しりぞける,2.987,학술,2.46,N1,
28,28,期日,きじつ,2.978,법률,3.6,N1,
29,29,収支,しゅうし,2.977,행정백서,3.61,N1,
30,30,結び付ける,むすびつける,2.972,학술,2.79,N1,
31,31,定まる,さだまる,2.957,학술,2.38,N1,
32,32,合議,ごうぎ,2.94,법률,2.8,N1,
33,33,雇用,こよう,2.926,행정백서,4.45,N1,
34,34,心掛ける,こころがける,2.91,논설·행정,2.31,N1,
35,35,設ける,もうける,2.875,논설·행정,3.65,N1,
36,36,未だ,いまだ,2.874,논설·행정,4.04,N1,
37,37,均衡,きんこう,2.869,학술,3.52,N1,
38,38,幹線,かんせん,2.867,논설·행정,3.28,N1,
39,39,緩やか,ゆるやか,2.865,행정백서,3.64,N1,
40,40,押さえる,おさえる,2.838,논설·행정,3.23,N1,
41,41,財政,ざいせい,2.835,논설·행정,4.22,N1,
42,42,結び付き,むすびつき,2.829,학술,2.53,N1,
43,43,生かす,いかす,2.824,논설·행정,3.53,N1,
44,44,審議,しんぎ,2.815,논설·행정,4.18,N1,
45,45,取り締まり,とりしまり,2.801,법률,3.35,N1,
46,46,原子,げんし,2.792,논설·행정,4.07,N1,
47,47,徐々,じょじょ,2.785,행정백서,3.31,N1,
48,48,任す,まかす,2.782,논설·행정,2.17,N1,
49,49,控除,こうじょ,2.782,법률,3.53,N1,
50,50,内閣,ないかく,2.777,논설·행정,4.48,N1,
51,51,上昇,じょうしょう,2.772,행정백서,4.52,N1,
52,52,異議,いぎ,2.764,논설·행정,3.7,N1,
53,53,高まる,たかまる,2.752,행정백서,3.86,N1,
54,54,禁ずる,きんずる,2.751,논설·행정,2.58,N1,
55,55,国土,こくど,2.744,논설·행정,4.07,N1,
56,56,準ずる,じゅんずる,2.744,법률,2.97,N1,
57,57,顧みる,かえりみる,2.723,문학,2.19,N1,문학고어의심
58,58,返る,かえる,2.719,문학,2.79,N1,문학고어의심
59,59,実情,じつじょう,2.717,논설·행정,3.47,N1,
60,60,賄う,まかなう,2.712,논설·행정,2.98,N1,
61,61,庶務,しょむ,2.705,논설·행정,2.4,N1,
62,62,学説,がくせつ,2.7,학술,3.01,N1,
63,63,仕入れる,しいれる,2.682,행정백서,2.72,N1,
64,64,慎む,つつしむ,2.674,논설·행정,2.56,N1,
65,65,一向,いっこう,2.663,문학,2.51,N1,문학고어의심
66,66,着工,ちゃっこう,2.663,행정백서,3.19,N1,
67,67,出生,しゅっしょう,2.661,행정백서,3.83,N1,
68,68,凝らす,こらす,2.66,논설·행정,2.16,N1,
69,69,立法,りっぽう,2.657,논설·행정,3.62,N1,
70,70,備え付ける,そなえつける,2.654,법률,1.36,N1,
71,71,自転,じてん,2.648,논설·행정,2.89,N1,
72,72,改革,かいかく,2.639,논설·행정,4.38,N1,
73,73,有する,ゆうする,2.638,법률,4.03,N1,
74,74,重んずる,おもんずる,2.637,논설·행정,1.68,N1,
75,75,自ずから,おのずから,2.633,문학,1.88,N1,문학고어의심
76,76,詰る,なじる,2.627,문학,1.74,N1,문학고어의심
77,77,所得,しょとく,2.62,행정백서,4.22,N1,
78,78,指摘,してき,2.619,논설·행정,4.7,N1,
79,79,引き上げる,ひきあげる,2.608,논설·행정,3.53,N1,
80,80,決議,けつぎ,2.601,논설·행정,3.77,N1,
81,81,偏る,かたよる,2.597,논설·행정,2.77,N1,
82,82,深める,ふかめる,2.584,논설·행정,3.4,N1,
83,83,要する,ようする,2.576,논설·행정,3.82,N1,
84,84,扶養,ふよう,2.567,논설·행정,3.27,N1,
85,85,促進,そくしん,2.555,논설·행정,4.15,N1,
86,86,経費,けいひ,2.555,논설·행정,3.91,N1,
87,87,害する,がいする,2.548,법률,3.11,N1,
88,88,採決,さいけつ,2.543,논설·행정,3.41,N1,
89,89,冷やかす,ひやかす,2.534,문학,1.86,N1,문학고어의심
90,90,勤まる,つとまる,2.534,문학,1.82,N1,문학고어의심
91,91,残高,ざんだか,2.503,행정백서,3.56,N1,
92,92,基金,ききん,2.494,논설·행정,3.81,N1,
93,93,協定,きょうてい,2.492,논설·행정,4.14,N1,
94,94,交える,まじえる,2.491,논설·행정,2.52,N1,
95,95,担う,になう,2.485,논설·행정,3.84,N1,
96,96,保障,ほしょう,2.479,논설·행정,4.52,N1,
97,97,協議,きょうぎ,2.476,논설·행정,4.23,N1,
98,98,口頭,こうとう,2.452,법률,3.42,N1,
