no,word,reading,genre,z,zipf
1,即する,そくする,논설·행정,4.253,1.12
2,結び付く,むすびつく,학술,3.957,2.35
3,報ずる,ほうずる,논설·행정,3.915,1.6
4,就業,しゅうぎょう,행정백서,3.905,3.54
5,取り組む,とりくむ,논설·행정,3.834,3.73
6,仮令,たとい,학술,3.728,1.18
7,質疑,しつぎ,논설·행정,3.7,3.56
8,申し入れる,もうしいれる,논설·행정,3.556,1.95
9,財源,ざいげん,논설·행정,3.353,3.57
10,動向,どうこう,행정백서,3.282,3.89
11,取り引き,とりひき,법률,3.278,3.45
12,受け止める,うけとめる,논설·행정,3.268,3.43
13,引き下げる,ひきさげる,논설·행정,3.238,2.82
14,捕らえる,とらえる,논설·행정,3.22,3.11
15,諮る,はかる,논설·행정,3.197,1.95
16,寄与,きよ,행정백서,3.184,3.78
17,賃金,ちんぎん,행정백서,3.173,4.1
18,施行,しこう,법률,3.167,3.96
19,慣行,かんこう,행정백서,3.156,2.96
20,煙る,けむる,문학,3.1,1.77
21,差し引く,さしひく,행정백서,3.057,2.23
22,図る,はかる,논설·행정,3.03,4.03
23,差し支える,さしつかえる,문학,3.013,2.08
24,議決,ぎけつ,법률,3.002,3.28
25,取り調べる,とりしらべる,법률,2.997,1.95
26,退ける,しりぞける,학술,2.987,2.46
27,期日,きじつ,법률,2.978,3.6
28,収支,しゅうし,행정백서,2.977,3.61
29,結び付ける,むすびつける,학술,2.972,2.79
30,定まる,さだまる,학술,2.957,2.38
31,合議,ごうぎ,법률,2.94,2.8
32,雇用,こよう,행정백서,2.926,4.45
33,心掛ける,こころがける,논설·행정,2.91,2.31
34,設ける,もうける,논설·행정,2.875,3.65
35,未だ,いまだ,논설·행정,2.874,4.04
36,均衡,きんこう,학술,2.869,3.52
37,幹線,かんせん,논설·행정,2.867,3.28
38,緩やか,ゆるやか,행정백서,2.865,3.64
39,押さえる,おさえる,논설·행정,2.838,3.23
40,財政,ざいせい,논설·행정,2.835,4.22
41,結び付き,むすびつき,학술,2.829,2.53
42,生かす,いかす,논설·행정,2.824,3.53
43,審議,しんぎ,논설·행정,2.815,4.18
44,取り締まり,とりしまり,법률,2.801,3.35
45,原子,げんし,논설·행정,2.792,4.07
46,徐々,じょじょ,행정백서,2.785,3.31
47,任す,まかす,논설·행정,2.782,2.17
48,控除,こうじょ,법률,2.782,3.53
49,内閣,ないかく,논설·행정,2.777,4.48
50,上昇,じょうしょう,행정백서,2.772,4.52
51,異議,いぎ,논설·행정,2.764,3.7
52,高まる,たかまる,행정백서,2.752,3.86
53,禁ずる,きんずる,논설·행정,2.751,2.58
54,国土,こくど,논설·행정,2.744,4.07
55,準ずる,じゅんずる,법률,2.744,2.97
56,顧みる,かえりみる,문학,2.723,2.19
57,返る,かえる,문학,2.719,2.79
58,実情,じつじょう,논설·행정,2.717,3.47
59,賄う,まかなう,논설·행정,2.712,2.98
60,庶務,しょむ,논설·행정,2.705,2.4
61,学説,がくせつ,학술,2.7,3.01
62,仕入れる,しいれる,행정백서,2.682,2.72
63,慎む,つつしむ,논설·행정,2.674,2.56
64,一向,いっこう,문학,2.663,2.51
65,着工,ちゃっこう,행정백서,2.663,3.19
66,出生,しゅっしょう,행정백서,2.661,3.83
67,凝らす,こらす,논설·행정,2.66,2.16
68,立法,りっぽう,논설·행정,2.657,3.62
69,備え付ける,そなえつける,법률,2.654,1.36
70,自転,じてん,논설·행정,2.648,2.89
71,改革,かいかく,논설·행정,2.639,4.38
72,有する,ゆうする,법률,2.638,4.03
73,重んずる,おもんずる,논설·행정,2.637,1.68
74,自ずから,おのずから,문학,2.633,1.88
75,詰る,なじる,문학,2.627,1.74
76,所得,しょとく,행정백서,2.62,4.22
77,指摘,してき,논설·행정,2.619,4.7
78,引き上げる,ひきあげる,논설·행정,2.608,3.53
79,決議,けつぎ,논설·행정,2.601,3.77
80,偏る,かたよる,논설·행정,2.597,2.77
81,深める,ふかめる,논설·행정,2.584,3.4
82,要する,ようする,논설·행정,2.576,3.82
83,扶養,ふよう,논설·행정,2.567,3.27
84,促進,そくしん,논설·행정,2.555,4.15
85,経費,けいひ,논설·행정,2.555,3.91
86,害する,がいする,법률,2.548,3.11
87,採決,さいけつ,논설·행정,2.543,3.41
88,冷やかす,ひやかす,문학,2.534,1.86
89,勤まる,つとまる,문학,2.534,1.82
90,残高,ざんだか,행정백서,2.503,3.56
91,基金,ききん,논설·행정,2.494,3.81
92,協定,きょうてい,논설·행정,2.492,4.14
93,交える,まじえる,논설·행정,2.491,2.52
94,担う,になう,논설·행정,2.485,3.84
95,保障,ほしょう,논설·행정,2.479,4.52
96,協議,きょうぎ,논설·행정,2.476,4.23
97,口頭,こうとう,법률,2.452,3.42
98,推進,すいしん,논설·행정,2.449,4.5
99,復興,ふっこう,논설·행정,2.441,4.27
100,理論,りろん,학술,2.439,4.56
101,滞る,とどこおる,논설·행정,2.428,2.56
102,責務,せきむ,논설·행정,2.425,3.42
103,分子,ぶんし,학술,2.405,3.97
104,決算,けっさん,논설·행정,2.401,3.81
105,弱まる,よわまる,행정백서,2.389,2.77
106,打ち切る,うちきる,논설·행정,2.386,2.86
107,手数,てすう,법률,2.36,3.01
108,船舶,せんぱく,논설·행정,2.357,3.47
109,確保,かくほ,논설·행정,2.353,4.7
110,誤る,あやまる,논설·행정,2.347,3.04
111,行政,ぎょうせい,논설·행정,2.344,4.52
112,取り巻く,とりまく,논설·행정,2.327,3.32
113,政策,せいさく,논설·행정,2.323,4.74
114,負担,ふたん,논설·행정,2.321,4.58
115,関税,かんぜい,논설·행정,2.317,3.75
116,投資,とうし,행정백서,2.316,4.67
117,不可欠,ふかけつ,논설·행정,2.314,3.79
118,如何,いかが,논설·행정,2.311,3.96
119,事業,じぎょう,논설·행정,2.299,5.08
120,簡潔,かんけつ,논설·행정,2.294,3.58
121,放り出す,ほうりだす,문학,2.284,2.38
122,地方,ちほう,논설·행정,2.28,4.9
123,確り,しっかり,논설·행정,2.274,1.99
124,依然,いぜん,행정백서,2.265,3.38
125,民主,みんしゅ,논설·행정,2.253,4.43
126,復旧,ふっきゅう,논설·행정,2.252,4.03
127,比率,ひりつ,행정백서,2.251,4.08
128,危ぶむ,あやぶむ,논설·행정,2.239,2.0
129,弛む,たゆむ,논설·행정,2.239,1.23
130,所定,しょてい,행정백서,2.236,3.46
131,臨む,のぞむ,논설·행정,2.236,3.43
132,条約,じょうやく,논설·행정,2.234,4.11
133,帯びる,おびる,문학,2.227,2.51
134,読み上げる,よみあげる,논설·행정,2.225,2.89
135,詫び,わび,논설·행정,2.221,3.28
136,振興,しんこう,논설·행정,2.216,3.9
137,見合わせる,みあわせる,문학,2.216,2.42
138,解剖,かいぼう,학술,2.215,3.78
139,河川,かせん,논설·행정,2.212,3.66
140,伴う,ともなう,행정백서,2.208,4.22
141,迅速,じんそく,논설·행정,2.208,3.9
142,近付く,ちかづく,논설·행정,2.208,3.04
143,審判,しんぱん,법률,2.203,3.97
144,財,ざい,행정백서,2.202,3.86
145,収益,しゅうえき,행정백서,2.201,4.01
146,防衛,ぼうえい,논설·행정,2.201,4.59
147,早急,さっきゅう,논설·행정,2.2,3.68
148,強いる,しいる,논설·행정,2.199,3.09
149,化合,かごう,학술,2.192,3.62
150,情勢,じょうせい,논설·행정,2.192,3.91
151,跨ぐ,またぐ,논설·행정,2.192,2.42
152,据える,すえる,논설·행정,2.191,2.96
153,軽減,けいげん,논설·행정,2.189,4.11
154,認識,にんしき,논설·행정,2.18,4.72
155,分配,ぶんぱい,행정백서,2.177,3.81
156,群集,ぐんしゅう,학술,2.172,3.0
157,勧告,かんこく,논설·행정,2.169,3.79
158,領海,りょうかい,논설·행정,2.163,3.23
159,名付ける,なづける,학술,2.162,2.9
160,強める,つよめる,논설·행정,2.15,3.21
161,黒字,くろじ,행정백서,2.147,3.52
162,補助,ほじょ,논설·행정,2.144,4.39
163,感染,かんせん,논설·행정,2.142,4.68
164,一律,いちりつ,논설·행정,2.139,3.61
165,兼業,けんぎょう,행정백서,2.139,3.01
166,留める,とめる,논설·행정,2.127,3.23
167,要望,ようぼう,논설·행정,2.124,4.2
168,気象,きしょう,학술,2.119,3.93
169,隔たる,へだたる,문학,2.118,0.0
170,結合,けつごう,학술,2.115,3.96
171,概念,がいねん,학술,2.111,4.44
172,取り扱い,とりあつかい,논설·행정,2.1,3.91
173,一気,いっき,논설·행정,2.094,3.37
174,原油,げんゆ,행정백서,2.087,3.62
175,証人,しょうにん,법률,2.08,3.88
176,議案,ぎあん,논설·행정,2.08,3.04
177,過疎,かそ,논설·행정,2.075,3.68
178,田園,でんえん,논설·행정,2.07,3.16
179,細胞,さいぼう,학술,2.07,4.65
180,内訳,うちわけ,행정백서,2.059,3.56
181,受け入れる,うけいれる,논설·행정,2.057,4.07
182,採択,さいたく,논설·행정,2.057,3.53
183,産出,さんしゅつ,행정백서,2.057,3.05
184,控える,ひかえる,논설·행정,2.054,3.58
185,機構,きこう,논설·행정,2.05,4.29
186,旅客,りょかく,논설·행정,2.049,3.18
187,剥げる,はげる,문학,2.047,1.67
188,欺く,あざむく,문학,2.046,2.82
189,首脳,しゅのう,논설·행정,2.046,3.87
190,付け加える,つけくわえる,논설·행정,2.041,2.94
191,久しい,ひさしい,논설·행정,2.037,3.18
192,方策,ほうさく,논설·행정,2.037,3.27
193,脱する,だっする,행정백서,2.037,2.76
194,居住,きょじゅう,법률,2.03,4.05
195,主権,しゅけん,논설·행정,2.029,3.74
196,増進,ぞうしん,논설·행정,2.021,3.3
197,差し掛かる,さしかかる,논설·행정,2.019,2.42
198,合意,ごうい,논설·행정,2.018,4.31
199,把握,はあく,논설·행정,2.008,4.44
200,浅ましい,あさましい,문학,2.008,2.24
201,堤防,ていぼう,논설·행정,2.006,3.48
202,配慮,はいりょ,논설·행정,2.006,4.28
203,概説,がいせつ,학술,2.003,2.62
204,討論,とうろん,논설·행정,2.001,3.8
205,密接,みっせつ,학술,1.995,3.6
206,再発,さいはつ,논설·행정,1.983,3.88
207,訴訟,そしょう,법률,1.974,4.42
208,弾力,だんりょく,논설·행정,1.969,3.23
