PILOT_방법검증_최종아님
word,reading,편중도,상위장르,일반빈도zipf,tanos_tag,note
拵える,こしらえる,4.28,문학,1.07,N1,문학25회/4문서(z+4.28); 일반빈도낮음→장르부상
仮令,たとい,4.185,문학,1.18,N1,문학22회/5문서(z+4.18) 논설·행정4회/4문서(z+2.85); 일반빈도낮음→장르부상
結び付く,むすびつく,4.115,학술,2.35,N1,학술23회/12문서(z+4.12) 논설·행정5회/4문서(z+2.37); 일반빈도낮음→장르부상
取り組む,とりくむ,4.02,논설·행정,3.73,N1,논설·행정886회/5문서(z+4.02) 학술16회/10문서(z+1.16); 일반빈도낮음→장르부상
即する,そくする,3.994,논설·행정,1.12,N1,논설·행정16회/5문서(z+3.99) 학술3회/3문서(z+3.09); 일반빈도낮음→장르부상
報ずる,ほうずる,3.941,논설·행정,1.6,N1,논설·행정15회/4문서(z+3.94); 일반빈도낮음→장르부상
煙る,けむる,3.9,문학,1.77,N1,문학15회/3문서(z+3.90); 일반빈도낮음→장르부상
差し支える,さしつかえる,3.813,문학,2.08,N1,문학16회/2문서(z+3.81); 일반빈도낮음→장르부상
質疑,しつぎ,3.723,논설·행정,3.56,N1,논설·행정418회/5문서(z+3.72); 일반빈도낮음→장르부상
諮る,はかる,3.692,논설·행정,1.95,N1,논설·행정143회/5문서(z+3.69); 일반빈도낮음→장르부상
申し入れる,もうしいれる,3.685,논설·행정,1.95,N1,논설·행정11회/4문서(z+3.69); 일반빈도낮음→장르부상
庶務,しょむ,3.667,논설·행정,2.4,N1,논설·행정27회/4문서(z+3.67); 일반빈도낮음→장르부상
顧みる,かえりみる,3.523,문학,2.19,N1,문학14회/4문서(z+3.52) 논설·행정8회/4문서(z+3.06); 일반빈도낮음→장르부상
返る,かえる,3.519,문학,2.79,N1,문학291회/8문서(z+3.52) 논설·행정34회/5문서(z+1.75); 일반빈도낮음→장르부상
一向,いっこう,3.463,문학,2.51,N1,문학27회/4문서(z+3.46) 논설·행정3회/2문서(z+1.64); 일반빈도낮음→장르부상
捕らえる,とらえる,3.455,학술,3.11,N1,학술60회/24문서(z+3.46) 논설·행정53회/5문서(z+2.87) 문학7회/4문서(z+1.43); 일반빈도낮음→장르부상
取り引き,とりひき,3.449,논설·행정,3.45,N1,논설·행정280회/5문서(z+3.45) 법률774회/10문서(z+3.28) 학술18회/10문서(z+1.65); 일반빈도낮음→장르부상
自ずから,おのずから,3.433,문학,1.88,N1,문학8회/2문서(z+3.43); 일반빈도낮음→장르부상
詰る,なじる,3.427,문학,1.74,N1,문학10회/3문서(z+3.43); 일반빈도낮음→장르부상
異議,いぎ,3.409,논설·행정,3.7,N1,논설·행정767회/5문서(z+3.41) 법률189회/11문서(z+1.63) 문학3회/2문서(z-0.70) 학술3회/3문서(z-0.73); 일반빈도낮음→장르부상
冷やかす,ひやかす,3.334,문학,1.86,N1,문학7회/3문서(z+3.33); 일반빈도낮음→장르부상
勤まる,つとまる,3.334,문학,1.82,N1,문학7회/2문서(z+3.33); 일반빈도낮음→장르부상
結び付ける,むすびつける,3.306,학술,2.79,N1,학술24회/11문서(z+3.31) 논설·행정4회/2문서(z+1.35); 일반빈도낮음→장르부상
財源,ざいげん,3.224,논설·행정,3.57,N1,논설·행정234회/5문서(z+3.22) 학술15회/4문서(z+1.42) 법률5회/5문서(z-0.16); 일반빈도낮음→장르부상
退ける,しりぞける,3.211,학술,2.46,N1,학술10회/6문서(z+3.21) 문학11회/5문서(z+2.88); 일반빈도낮음→장르부상
慎む,つつしむ,3.193,논설·행정,2.56,N1,논설·행정22회/5문서(z+3.19) 문학7회/2문서(z+2.38); 일반빈도낮음→장르부상
定まる,さだまる,3.177,학술,2.38,N1,학술8회/7문서(z+3.18) 법률13회/4문서(z+2.31) 논설·행정3회/3문서(z+1.89); 일반빈도낮음→장르부상
施行,しこう,3.167,법률,3.96,N1,법률1764회/12문서(z+3.17) 논설·행정74회/5문서(z+1.53) 학술11회/5문서(z+0.41); 일반빈도낮음→장르부상
受け止める,うけとめる,3.157,논설·행정,3.43,N1,논설·행정156회/5문서(z+3.16) 학술3회/3문서(z+0.34); 일반빈도낮음→장르부상
放り出す,ほうりだす,3.084,문학,2.38,N1,문학12회/4문서(z+3.08); 일반빈도낮음→장르부상
