N1_후보풀_전량랭킹_방법검증_최종아님
rank,word,reading,편중도,상위장르,일반빈도zipf,tanos_tag,note
1,即する,そくする,4.253,논설·행정,1.12,N1,논설·행정196회/23문서(z+4.25) 학술7회/7문서(z+2.99); 일반빈도낮음→장르부상
2,結び付く,むすびつく,3.957,학술,2.35,N1,학술58회/33문서(z+3.96) 논설·행정118회/23문서(z+3.36) 행정백서13회/9문서(z+3.13); 일반빈도낮음→장르부상
3,報ずる,ほうずる,3.915,논설·행정,1.6,N1,논설·행정119회/23문서(z+3.92); 일반빈도낮음→장르부상
4,就業,しゅうぎょう,3.905,행정백서,3.54,N1,행정백서558회/32문서(z+3.90) 논설·행정319회/22문서(z+2.18) 법률23회/2문서(z+0.91); 일반빈도낮음→장르부상
5,取り組む,とりくむ,3.834,논설·행정,3.73,N1,논설·행정5672회/24문서(z+3.83) 행정백서59회/27문서(z+1.86) 학술31회/19문서(z+1.15); 일반빈도낮음→장르부상
6,仮令,たとい,3.728,학술,1.18,N1,학술19회/11문서(z+3.73) 논설·행정77회/21문서(z+3.62) 문학22회/5문서(z+3.38); 일반빈도낮음→장르부상
7,質疑,しつぎ,3.7,논설·행정,3.56,N1,논설·행정3141회/24문서(z+3.70); 일반빈도낮음→장르부상
8,申し入れる,もうしいれる,3.556,논설·행정,1.95,N1,논설·행정70회/21문서(z+3.56); 일반빈도낮음→장르부상
9,拵える,こしらえる,3.48,문학,1.07,N1,문학25회/4문서(z+3.48); 일반빈도낮음→장르부상
10,財源,ざいげん,3.353,논설·행정,3.57,N1,논설·행정1929회/24문서(z+3.35) 학술15회/4문서(z+0.89) 행정백서5회/2문서(z+0.25) 법률5회/5문서(z-0.16); 일반빈도낮음→장르부상
11,動向,どうこう,3.282,행정백서,3.89,N1,행정백서552회/47문서(z+3.28) 논설·행정447회/24문서(z+1.87) 학술13회/12문서(z+0.24); 일반빈도낮음→장르부상
12,取り引き,とりひき,3.278,법률,3.45,N1,법률774회/10문서(z+3.28) 논설·행정1258회/24문서(z+3.13) 행정백서102회/23문서(z+2.63) 학술40회/19문서(z+1.68); 일반빈도낮음→장르부상
13,受け止める,うけとめる,3.268,논설·행정,3.43,N1,논설·행정1230회/24문서(z+3.27) 학술6회/5문서(z+0.45) 행정백서3회/3문서(z+0.11); 일반빈도낮음→장르부상
14,引き下げる,ひきさげる,3.238,논설·행정,2.82,N1,논설·행정289회/24문서(z+3.24) 행정백서15회/8문서(z+2.41) 학술10회/3문서(z+1.86); 일반빈도낮음→장르부상
15,捕らえる,とらえる,3.22,논설·행정,3.11,N1,논설·행정550회/24문서(z+3.22) 학술123회/53문서(z+3.22) 행정백서26회/12문서(z+2.32) 문학7회/4문서(z+0.63); 일반빈도낮음→장르부상
16,諮る,はかる,3.197,논설·행정,1.95,N1,논설·행정531회/24문서(z+3.20); 일반빈도낮음→장르부상
17,寄与,きよ,3.184,행정백서,3.78,N1,행정백서377회/38문서(z+3.18) 논설·행정254회/24문서(z+1.65) 학술33회/20문서(z+1.11) 법률8회/5문서(z-0.17); 일반빈도낮음→장르부상
18,賃金,ちんぎん,3.173,행정백서,4.1,N1,행정백서777회/46문서(z+3.17) 논설·행정1612회/24문서(z+2.41) 학술59회/10문서(z+1.00) 법률11회/5문서(z-0.45)
19,施行,しこう,3.167,법률,3.96,N1,법률1764회/12문서(z+3.17) 논설·행정777회/24문서(z+2.13) 행정백서25회/10문서(z+0.80) 학술19회/10문서(z+0.40); 일반빈도낮음→장르부상
20,慣行,かんこう,3.156,행정백서,2.96,N1,행정백서55회/13문서(z+3.16) 논설·행정119회/21문서(z+2.42) 학술8회/4문서(z+1.46); 일반빈도낮음→장르부상
21,煙る,けむる,3.1,문학,1.77,N1,문학15회/3문서(z+3.10); 일반빈도낮음→장르부상
22,差し引く,さしひく,3.057,행정백서,2.23,N1,행정백서9회/8문서(z+3.06) 논설·행정54회/19문서(z+3.02); 일반빈도낮음→장르부상
