content_key,level_code,headword,reading,ruby,romaji_ko,pos,conj_type,transitivity,meaning_ko,meaning_ko_alt,example_ja,example_ko,audio_file,source,verify,note
jlpt.n3.vocab.0001,N3,選ぶ,えらぶ,{選|えら}ぶ,에라부,verb,g1,vt,고르다,선택하다,{好|す}きな{色|いろ}を{選|えら}んでください。,좋아하는 색을 골라 주세요.,jlpt.n3.vocab.0001.m4a,own,draft,-
jlpt.n3.vocab.0002,N3,運ぶ,はこぶ,{運|はこ}ぶ,하코부,verb,g1,vt,나르다,운반하다;옮기다,{荷物|にもつ}を{車|くるま}まで{運|はこ}びます。,짐을 차까지 나릅니다.,jlpt.n3.vocab.0002.m4a,own,draft,-
jlpt.n3.vocab.0003,N3,断る,ことわる,{断|ことわ}る,코토와루,verb,g1,vt,거절하다,미리 양해를 구하다,{残念|ざんねん}ですが{今回|こんかい}は{断|ことわ}ります。,아쉽지만 이번에는 거절하겠습니다.,jlpt.n3.vocab.0003.m4a,own,draft,-
jlpt.n3.vocab.0004,N3,探す,さがす,{探|さが}す,사가스,verb,g1,vt,찾다,-,{駅|えき}で{財布|さいふ}を{探|さが}しました。,역에서 지갑을 찾았습니다.,jlpt.n3.vocab.0004.m4a,own,draft,-
jlpt.n3.vocab.0005,N3,直す,なおす,{直|なお}す,나오스,verb,g1,vt,고치다,바로잡다;수리하다,{自転車|じてんしゃ}を{直|なお}してもらいました。,자전거를 고쳐 달라고 했습니다.,jlpt.n3.vocab.0005.m4a,own,draft,-
jlpt.n3.vocab.0006,N3,残る,のこる,{残|のこ}る,노코루,verb,g1,vi,남다,-,{昨日|きのう}の{料理|りょうり}がまだ{残|のこ}っています。,어제 요리가 아직 남아 있습니다.,jlpt.n3.vocab.0006.m4a,own,draft,-
jlpt.n3.vocab.0007,N3,払う,はらう,{払|はら}う,하라우,verb,g1,vt,지불하다,(주의를) 기울이다,ここで{料金|りょうきん}を{払|はら}ってください。,여기서 요금을 지불해 주세요.,jlpt.n3.vocab.0007.m4a,own,draft,-
jlpt.n3.vocab.0008,N3,光る,ひかる,{光|ひか}る,히카루,verb,g1,vi,빛나다,-,{空|そら}に{星|ほし}が{光|ひか}っています。,하늘에 별이 빛나고 있습니다.,jlpt.n3.vocab.0008.m4a,own,draft,-
jlpt.n3.vocab.0009,N3,守る,まもる,{守|まも}る,마모루,verb,g1,vt,지키다,보호하다,{約束|やくそく}は{必|かなら}ず{守|まも}ります。,약속은 반드시 지킵니다.,jlpt.n3.vocab.0009.m4a,own,draft,-
jlpt.n3.vocab.0010,N3,迷う,まよう,{迷|まよ}う,마요우,verb,g1,vi,헤매다,망설이다,{道|みち}に{迷|まよ}ってしまいました。,길을 잃고 말았습니다.,jlpt.n3.vocab.0010.m4a,own,draft,루비 밖 う → 장음 아님
jlpt.n3.vocab.0011,N3,戻る,もどる,{戻|もど}る,모도루,verb,g1,vi,되돌아가다,돌아오다,{午後|ごご}には{会社|かいしゃ}に{戻|もど}ります。,오후에는 회사로 돌아갑니다.,jlpt.n3.vocab.0011.m4a,own,draft,-
jlpt.n3.vocab.0012,N3,笑う,わらう,{笑|わら}う,와라우,verb,g1,vi,웃다,비웃다,{子供|こども}たちが{大|おお}きな{声|こえ}で{笑|わら}いました。,아이들이 큰 소리로 웃었습니다.,jlpt.n3.vocab.0012.m4a,own,draft,-
jlpt.n3.vocab.0013,N3,急ぐ,いそぐ,{急|いそ}ぐ,이소구,verb,g1,vi,서두르다,-,{時間|じかん}がないので{急|いそ}ぎましょう。,시간이 없으니 서두릅시다.,jlpt.n3.vocab.0013.m4a,own,draft,-
jlpt.n3.vocab.0014,N3,動く,うごく,{動|うご}く,우고쿠,verb,g1,vi,움직이다,작동하다,この{時計|とけい}は{動|うご}きません。,이 시계는 움직이지 않습니다.,jlpt.n3.vocab.0014.m4a,own,draft,-
jlpt.n3.vocab.0015,N3,送る,おくる,{送|おく}る,오쿠루,verb,g1,vt,보내다,배웅하다,{友|とも}だちに{写真|しゃしん}を{送|おく}りました。,친구에게 사진을 보냈습니다.,jlpt.n3.vocab.0015.m4a,own,draft,-
