jlpt.n3.grammar.0040,N3,さらに,さらに,-,부사,더욱; 게다가,정도가 한층 더해지거나 정보를 덧붙일 때 쓴다.,値段がさらに上がった。,값이 더 올랐다.,{値段|ね|だん}がさらに{上|あ}がった。,casual,ref_only:tanos_grammar+official_sample,draft,Tanos:N3 · 자작예문
jlpt.n3.grammar.0041,N3,すでに,すでに,-,부사,이미; 벌써,어떤 시점보다 앞서 일이 끝났음을 나타낸다.,会議はすでに終わった。,회의는 이미 끝났다.,{会議|かい|ぎ}はすでに{終|お}わった。,casual,ref_only:tanos_grammar+official_sample,draft,Tanos:N3 · 자작예문
jlpt.n3.grammar.0042,N3,つい,つい,-,부사,그만; 무심코,의도치 않게 그렇게 해 버림을 나타낸다.,つい甘い物を食べてしまう。,그만 단것을 먹어버린다.,つい{甘|あま}い{物|もの}を{食|た}べてしまう。,casual,ref_only:tanos_grammar+official_sample,draft,Tanos:N3 · 자작예문
jlpt.n3.grammar.0043,N3,むしろ,むしろ,-,부사,오히려; 차라리,두 가지를 비교해 뒤쪽을 택하는 편이 낫다고 말한다.,高いよりむしろ安い方がいい。,비싼 것보다 오히려 싼 편이 좋다.,{高|たか}いよりむしろ{安|やす}い{方|ほう}がいい。,casual,ref_only:tanos_grammar+official_sample,draft,Tanos:N3 · 자작예문
jlpt.n3.grammar.0044,N3,～さえ,～さえ,-,명사 + さえ,~조차; ~마저,극단적인 예를 들어 강조한다; さえ～ば 형태로 최소 조건.,子供でさえ知っている。,아이조차 알고 있다.,{子供|こ|ども}でさえ{知|し}っている。,casual,ref_only:tanos_grammar+official_sample,draft,Tanos:N3 · 자작예문
jlpt.n3.grammar.0045,N3,～に慣れる,～に{慣|な}れる,-,명사 + に + 慣れる,~에 익숙해지다,반복된 경험으로 익숙해짐을 나타낸다.,新しい仕事に慣れた。,새 일에 익숙해졌다.,{新|あたら}しい{仕事|し|ごと}に{慣|な}れた。,casual,ref_only:tanos_grammar+official_sample,draft,Tanos:N3 · 자작예문
jlpt.n3.grammar.0046,N3,～に違いない,～に{違|ちが}いない,-,명사·보통형 + に違いない,~임에 틀림없다,확신에 찬 강한 추측을 나타낸다.,彼は犯人に違いない。,그는 범인임에 틀림없다.,{彼|かれ}は{犯人|はん|にん}に{違|ちが}いない。,casual,ref_only:tanos_grammar+official_sample,draft,Tanos:N3 · 자작예문
jlpt.n3.grammar.0047,N3,なかなか,なかなか,-,부사,좀처럼; 꽤,긍정문에서는 꽤; 부정문과 함께 좀처럼 ~않다.,バスがなかなか来ない。,버스가 좀처럼 오지 않는다.,バスがなかなか{来|こ}ない。,casual,ref_only:tanos_grammar+official_sample,draft,Tanos:N3 · 자작예문
jlpt.n3.grammar.0048,N3,～ために,～ために,-,동사 사전형·명사の + ために,~을 위해; ~때문에,목적 또는 원인·이유를 나타낸다.,健康のために運動する。,건강을 위해 운동한다.,{健康|けん|こう}のために{運動|うん|どう}する。,casual,ref_only:tanos_grammar+official_sample,draft,Tanos:N3 · 자작예문
jlpt.n3.grammar.0049,N3,～ず,～ず,-,동사 ない형 어간 + ず (する→せず),~하지 않고; ~하지 않아,ないで의 문어체 표현이다.,朝ご飯を食べず学校へ行った。,아침을 먹지 않고 학교에 갔다.,{朝|あさ}ご{飯|はん}を{食|た}べず{学校|がっ|こう}へ{行|い}った。,casual,ref_only:tanos_grammar+official_sample,draft,Tanos:N3 · 자작예문
