content_key,level_code,headword,reading,ruby,romaji_ko,pos,conj_type,transitivity,meaning_ko,meaning_ko_alt,example_ja,example_ko,audio_file,source,verify,note
jlpt.n4.vocab.0001,N4,どういたしまして,どういたしまして,どういたしまして,도오이타시마시테,expr,-,-,천만에요,별말씀을요,ありがとう。どういたしまして。,고마워요. 천만에요.,jlpt.n4.vocab.0001.m4a,ref_only:jf_marugoto_a2,draft,선정축: A1 인사 확장(감사 응답); Tanos N4 미수록 → 교재 기준 채택; Tanos교차: 전급수 목록밖 — Tanos(구시험 어휘)에 없는 현대어로 판단
jlpt.n4.vocab.0002,N4,お疲れさま,おつかれさま,お{疲|つか}れさま,오츠카레사마,expr,-,-,수고하셨어요,고생 많으셨어요,{今日|きょう}もお{疲|つか}れさまでした。,오늘도 수고하셨어요.,jlpt.n4.vocab.0002.m4a,ref_only:jf_irodori_a2,draft,선정축: A2 직장 주제 인사; N5 疲れる의 표현형 확장; Tanos교차: 전급수 목록밖 — Tanos(구시험 어휘)에 없는 현대어로 판단
jlpt.n4.vocab.0003,N4,お大事に,おだいじに,お{大事|だい|じ}に,오다이지니,expr,-,-,몸조리 잘하세요,건강 챙기세요,{風邪|かぜ}ですか。お{大事|だいじ}に。,감기예요? 몸조리 잘하세요.,jlpt.n4.vocab.0003.m4a,ref_only:jf_irodori_a2,draft,선정축: A2 병원·건강 주제; 大事(na_adj)와 짝; Tanos교차: N1 분류(구시험 기준) — 교재축 판단을 우선해 N4 유지
jlpt.n4.vocab.0004,N4,おかげさまで,おかげさまで,おかげさまで,오카게사마데,expr,-,-,덕분에요,덕분에 잘 지내요,おかげさまで{元気|げんき}になりました。,덕분에 건강해졌어요.,jlpt.n4.vocab.0004.m4a,ref_only:jf_marugoto_a2,draft,선정축: A2 안부 주고받기; N5 元気와 짝; Tanos교차: N2 분류(구시험 기준) — 교재축 판단을 우선해 N4 유지
jlpt.n4.vocab.0005,N4,ようこそ,ようこそ,ようこそ,요오코소,expr,-,-,잘 오셨어요,환영합니다,ようこそ{日本|にほん}へ。,일본에 잘 오셨어요.,jlpt.n4.vocab.0005.m4a,ref_only:jf_marugoto_a2,draft,선정축: A2 손님 맞이 주제; Tanos교차: 전급수 목록밖 — Tanos(구시험 어휘)에 없는 현대어로 판단
jlpt.n4.vocab.0006,N4,お邪魔します,おじゃまします,お{邪魔|じゃ|ま}します,오자마시마스,expr,-,-,실례하겠습니다(방문),들어갈게요,すみません。お{邪魔|じゃま}します。,실례합니다. 들어갈게요.,jlpt.n4.vocab.0006.m4a,ref_only:jf_irodori_a2,draft,선정축: A2 남의 집 방문 주제; 邪魔(na_adj)와 짝; Tanos교차: N1 분류(구시험 기준) — 교재축 판단을 우선해 N4 유지
jlpt.n4.vocab.0007,N4,失礼します,しつれいします,{失礼|しつ|れい}します,시츠레에시마스,expr,-,-,실례하겠습니다,먼저 가보겠습니다,{先|さき}に{失礼|しつれい}します。,먼저 실례하겠습니다.,jlpt.n4.vocab.0007.m4a,ref_only:jf_irodori_a2,draft,선정축: A2 직장 인사; 존경·겸양 아닌 정중체 범위; Tanos교차: 전급수 목록밖 — Tanos(구시험 어휘)에 없는 현대어로 판단
jlpt.n4.vocab.0008,N4,なるほど,なるほど,なるほど,나루호도,interj,-,-,그렇군요,과연,なるほど。よく{分|わ}かりました。,그렇군요. 잘 알겠어요.,jlpt.n4.vocab.0008.m4a,ref_only:jf_irodori_a2,draft,선정축: A2 맞장구 표현; 청해 대화 빈출; Tanos교차: N4 일치
jlpt.n4.vocab.0009,N4,あのう,あのう,あのう,아노오,interj,-,-,저기요,저…,あのう。ちょっといいですか。,저기요. 잠깐 괜찮으세요?,jlpt.n4.vocab.0009.m4a,ref_only:jf_irodori_a2,draft,선정축: A2 말 걸기; 규격 4.4.1 간투사 처리 대상; Tanos교차: 전급수 목록밖 — Tanos(구시험 어휘)에 없는 현대어로 판단
jlpt.n4.vocab.0010,N4,さあ,さあ,さあ,사아,interj,-,-,자(권유),글쎄요,さあ。{始|はじ}めましょう。,자. 시작합시다.,jlpt.n4.vocab.0010.m4a,ref_only:jf_marugoto_a2,draft,선정축: A2 권유 표현; Tanos교차: N5 분류 — 우리 N5 400 미수록 잔여분을 N4로 흡수
