content_key,level_code,pattern,pattern_ruby,romaji_ko,connection,meaning_ko,usage_note,example_ja,example_ko,example_ruby,politeness,source,verify,note
jlpt.n4.grammar.0001,N4,～し,～し,-,동사·형용사·명사 보통형 + し,~하고; ~하기도 하고 (이유 나열),이유나 근거를 여러 개 나열한다.,この店は安いし、近いです。,이 가게는 싸고 가깝습니다.,この{店|みせ}は{安|やす}いし、{近|ちか}いです。,polite,ref_only:tanos_grammar+official_sample,draft,Tanos:N4 · 자작예문
jlpt.n4.grammar.0002,N4,～そうです,～そうです,-,동사·형용사 보통형 + そうです,~라고 한다 (전문),남에게 들은 정보를 그대로 전한다.,田中さんは来ないそうです。,다나카 씨는 오지 않는다고 합니다.,{田中|た|なか}さんは{来|こ}ないそうです。,polite,ref_only:tanos_grammar+official_sample,draft,Tanos:N4 · 자작예문 · 동음이의(전문/양태)
jlpt.n4.grammar.0003,N4,～てみる,～てみる,-,동사 て형 + みる,~해 보다 (시도),시험 삼아 한번 해 본다.,この服を着てみます。,이 옷을 입어 봅니다.,この{服|ふく}を{着|き}てみます。,polite,ref_only:tanos_grammar+official_sample,draft,Tanos:N4 · 자작예문
jlpt.n4.grammar.0004,N4,なら,なら,-,명사·보통형 + なら,~라면 (화제·조건),상대의 말을 받아 화제로 삼거나 조건을 든다.,日本語なら田中さんに聞いてください。,일본어라면 다나카 씨에게 물어보세요.,{日本語|に|ほん|ご}なら{田中|た|なか}さんに{聞|き}いてください。,polite,ref_only:tanos_grammar+official_sample,draft,Tanos:N4 · 자작예문
jlpt.n4.grammar.0005,N4,～に,～に,-,기간 명사 + に + 횟수,~에 (빈도의 기준),일정 기간당 몇 번인지 빈도를 나타낸다.,一週間に三回運動します。,일주일에 세 번 운동합니다.,{一週間|いっ|しゅう|かん}に{三回|さん|かい}{運動|うん|どう}します。,polite,ref_only:tanos_grammar+official_sample,draft,Tanos:N4 · 자작예문
jlpt.n4.grammar.0006,N4,～たがる,～たがる,-,동사 ます형 + たがる,~하고 싶어 하다 (제3자 희망),제3자의 욕구를 객관적으로 서술한다.,弟は外で遊びたがる。,남동생은 밖에서 놀고 싶어 한다.,{弟|おとうと}は{外|そと}で{遊|あそ}びたがる。,casual,ref_only:tanos_grammar+official_sample,draft,Tanos:N4 · 자작예문
jlpt.n4.grammar.0007,N4,～かもしれない,～かもしれない,-,동사·형용사 보통형·명사 + かもしれない,~일지도 모른다 (추측),가능성이 있음을 나타낸다.,明日は雨が降るかもしれない。,내일은 비가 올지도 모른다.,{明日|あした}は{雨|あめ}が{降|ふ}るかもしれない。,casual,ref_only:tanos_grammar+official_sample,draft,Tanos:N4 · 자작예문
jlpt.n4.grammar.0008,N4,～たらどうですか,～たらどうですか,-,동사 た형 + らどうですか,~하는 게 어때요? (제안),상대에게 조언이나 제안을 한다.,少し休んだらどうですか。,조금 쉬는 게 어때요?,{少|すこ}し{休|やす}んだらどうですか。,polite,ref_only:tanos_grammar+official_sample,draft,Tanos:N4 · 자작예문
jlpt.n4.grammar.0009,N4,～も,～も,-,수량 명사 + も,~이나 (수량 많음 강조),예상보다 수량이 많음을 강조한다.,三時間も待ちました。,세 시간이나 기다렸습니다.,{三時間|さん|じ|かん}も{待|ま}ちました。,polite,ref_only:tanos_grammar+official_sample,draft,Tanos:N4 · 자작예문
jlpt.n4.grammar.0010,N4,しか～ない,しか～ない,-,명사 + しか + 동사 부정형,~밖에 없다 (한정),그것뿐임을 부정형으로 강조한다.,百円しかありません。,백 엔밖에 없습니다.,{百円|ひゃく|えん}しかありません。,polite,ref_only:tanos_grammar+official_sample,draft,Tanos:N4 · 자작예문
jlpt.n4.grammar.0011,N4,～ておく,～ておく,-,동사 て형 + おく,~해 두다 (사전 준비),미리 준비해 둔다.,旅行の前に切符を買っておきます。,여행 전에 표를 사 둡니다.,{旅行|りょ|こう}の{前|まえ}に{切符|きっ|ぷ}を{買|か}っておきます。,polite,ref_only:tanos_grammar+official_sample,draft,Tanos:N4 · 자작예문
jlpt.n4.grammar.0012,N4,～よう,～よう,-,동사 의지형(V-よう),~하자; ~해야지 (의지·권유),말하는 이의 의지나 권유를 나타낸다.,一緒に帰ろう。,같이 돌아가자.,{一緒|いっ|しょ}に{帰|かえ}ろう。,casual,ref_only:tanos_grammar+official_sample,draft,Tanos:N4 · 자작예문
jlpt.n4.grammar.0013,N4,～てあげる,～てあげる,-,동사 て형 + あげる,~해 주다 (내가 남에게),남을 위해 행동함을 나타낸다.,友達に写真を見せてあげました。,친구에게 사진을 보여 주었습니다.,{友達|とも|だち}に{写真|しゃ|しん}を{見|み}せてあげました。,polite,ref_only:tanos_grammar+official_sample,draft,Tanos:N4 · 자작예문
jlpt.n4.grammar.0014,N4,～てくれる,～てくれる,-,동사 て형 + くれる,~해 주다 (남이 나에게),남이 나나 내 편을 위해 해 줌.,母がケーキを作ってくれた。,어머니가 케이크를 만들어 주었다.,{母|はは}がケーキを{作|つく}ってくれた。,casual,ref_only:tanos_grammar+official_sample,draft,Tanos:N4 · 자작예문
jlpt.n4.grammar.0015,N4,～てもらう,～てもらう,-,동사 て형 + もらう,~해 받다 (부탁해 받음),남에게 행동을 받는 관점에서 말한다.,先生に日本語を教えてもらいました。,선생님에게 일본어를 배웠습니다.,{先生|せん|せい}に{日本語|に|ほん|ご}を{教|おし}えてもらいました。,polite,ref_only:tanos_grammar+official_sample,draft,Tanos:N4 · 자작예문
jlpt.n4.grammar.0016,N4,～ていただけませんか,～ていただけませんか,-,동사 て형 + いただけませんか,~해 주시지 않겠습니까? (정중한 의뢰),매우 정중하게 부탁한다.,名前を書いていただけませんか。,이름을 써 주시지 않겠습니까?,{名前|な|まえ}を{書|か}いていただけませんか。,humble,ref_only:tanos_grammar+official_sample,draft,Tanos:N4 · 자작예문
jlpt.n4.grammar.0017,N4,～といいです,～といいです,-,동사·형용사 보통형 + といいです,~하면 좋겠다 (희망·조언),바람이나 가벼운 조언을 나타낸다.,明日晴れるといいですね。,내일 맑으면 좋겠네요.,{明日|あした}{晴|は}れるといいですね。,polite,ref_only:tanos_grammar+official_sample,draft,Tanos:N4 · 자작예문
jlpt.n4.grammar.0018,N4,～てすみません,～てすみません,-,동사 て형 + すみません,~해서 죄송합니다 (사과),자신의 행위를 사과한다.,遅れてすみません。,늦어서 죄송합니다.,{遅|おく}れてすみません。,polite,ref_only:tanos_grammar+official_sample,draft,Tanos:N4 · 자작예문
jlpt.n4.grammar.0019,N4,～そうです,～そうです,-,동사 ます형·형용사 어간 + そうです,~것 같다 (양태·겉모습),겉모습이나 직전 상황으로 추측한다.,雨が降りそうです。,비가 올 것 같습니다.,{雨|あめ}が{降|ふ}りそうです。,polite,ref_only:tanos_grammar+official_sample,draft,Tanos:N4 · 자작예문 · 동음이의(전문/양태)
jlpt.n4.grammar.0020,N4,～させる,～させる,-,동사 사역형,~시키다; ~하게 하다 (사역),남에게 어떤 행동을 시키거나 허락한다.,先生は学生に本を読ませました。,선생님은 학생에게 책을 읽혔습니다.,{先生|せん|せい}は{学生|がく|せい}に{本|ほん}を{読|よ}ませました。,polite,ref_only:tanos_grammar+official_sample,draft,Tanos:N4 · 자작예문
jlpt.n4.grammar.0021,N4,～なさい,～なさい,-,동사 ます형 + なさい,~하시오; ~해라 (부드러운 명령),손윗사람이 아랫사람에게 지시한다.,早く寝なさい。,빨리 자거라.,{早|はや}く{寝|ね}なさい。,polite,ref_only:tanos_grammar+official_sample,draft,Tanos:N4 · 자작예문
jlpt.n4.grammar.0022,N4,～ば,～ば,-,동사·형용사 가정형(ば형),~하면 (가정·조건),조건이 성립하면 결과가 이어진다.,春になれば桜が咲きます。,봄이 되면 벚꽃이 핍니다.,{春|はる}になれば{桜|さくら}が{咲|さ}きます。,polite,ref_only:tanos_grammar+official_sample,draft,Tanos:N4 · 자작예문
jlpt.n4.grammar.0023,N4,～ても,～ても,-,동사 て형 + も,~해도; ~하더라도 (양보),앞 조건에도 결과가 변하지 않음을 나타낸다.,雨が降っても行きます。,비가 와도 갑니다.,{雨|あめ}が{降|ふ}っても{行|い}きます。,polite,ref_only:tanos_grammar+official_sample,draft,Tanos:N4 · 자작예문
jlpt.n4.grammar.0024,N4,～たら,～たら,-,동사·형용사·명사의 た형 + ら,~하면 (가정·조건),어떤 일이 일어난 뒤의 결과를 가정한다.,雨が降ったら行きません。,비가 오면 가지 않습니다.,{雨|あめ}が{降|ふ}ったら{行|い}きません。,polite,ref_only:tanos_grammar+official_sample,draft,Tanos:N4 · 자작예문
jlpt.n4.grammar.0025,N4,～なくてもいい,～なくてもいい,-,동사 ない형에서 ない→なくてもいい,~하지 않아도 된다,할 필요가 없음을 나타낸다.,明日は来なくてもいいです。,내일은 오지 않아도 됩니다.,{明日|あした}は{来|こ}なくてもいいです。,polite,ref_only:tanos_grammar+official_sample,draft,Tanos:N4 · 자작예문
jlpt.n4.grammar.0026,N4,～みたい,～みたい,-,명사·동사·형용사 보통형 + みたい,~같다 (비유); ~인 것 같다 (추측),회화체; 비유와 불확실한 추측에 모두 쓴다.,彼はまだ子供みたいです。,그는 아직 아이 같습니다.,{彼|かれ}はまだ{子供|こ|ども}みたいです。,polite,ref_only:tanos_grammar+official_sample,draft,Tanos:N4 · 자작예문
jlpt.n4.grammar.0027,N4,～てしまう,～てしまう,-,동사 て형 + しまう,~해 버리다 (완료·유감),완료 또는 유감·후회의 뉘앙스; 회화체 ちゃう/じゃう.,宿題を忘れてしまいました。,숙제를 잊어버렸습니다.,{宿題|しゅく|だい}を{忘|わす}れてしまいました。,polite,ref_only:tanos_grammar+official_sample,draft,Tanos:N4 · 자작예문
jlpt.n4.grammar.0028,N4,～と,～と,-,동사·형용사 사전형 + と,~하면 (자연·필연 조건),항상 그렇게 되는 자연 결과·습관·길 안내에 쓴다.,春になると花が咲きます。,봄이 되면 꽃이 핍니다.,{春|はる}になると{花|はな}が{咲|さ}きます。,polite,ref_only:tanos_grammar+official_sample,draft,Tanos:N4 · 자작예문
jlpt.n4.grammar.0029,N4,～ながら,～ながら,-,동사 ます형 어간 + ながら,~하면서 (동시 동작),한 사람이 두 동작을 동시에 한다.,音楽を聞きながら勉強します。,음악을 들으면서 공부합니다.,{音楽|おん|がく}を{聞|き}きながら{勉強|べん|きょう}します。,polite,ref_only:tanos_grammar+official_sample,draft,Tanos:N4 · 자작예문
