no,word,reading,genre,z,zipf
1,即する,そくする,논설·행정,4.253,1.12
2,結び付く,むすびつく,학술,3.957,2.35
3,報ずる,ほうずる,논설·행정,3.915,1.6
4,就業,しゅうぎょう,행정백서,3.905,3.54
5,取り組む,とりくむ,논설·행정,3.834,3.73
6,仮令,たとい,학술,3.728,1.18
7,質疑,しつぎ,논설·행정,3.7,3.56
8,申し入れる,もうしいれる,논설·행정,3.556,1.95
9,財源,ざいげん,논설·행정,3.353,3.57
10,動向,どうこう,행정백서,3.282,3.89
11,取り引き,とりひき,법률,3.278,3.45
12,受け止める,うけとめる,논설·행정,3.268,3.43
13,引き下げる,ひきさげる,논설·행정,3.238,2.82
14,捕らえる,とらえる,논설·행정,3.22,3.11
15,諮る,はかる,논설·행정,3.197,1.95
16,寄与,きよ,행정백서,3.184,3.78
17,賃金,ちんぎん,행정백서,3.173,4.1
18,施行,しこう,법률,3.167,3.96
19,慣行,かんこう,행정백서,3.156,2.96
20,煙る,けむる,문학,3.1,1.77
21,差し引く,さしひく,행정백서,3.057,2.23
22,図る,はかる,논설·행정,3.03,4.03
23,差し支える,さしつかえる,문학,3.013,2.08
24,議決,ぎけつ,법률,3.002,3.28
25,取り調べる,とりしらべる,법률,2.997,1.95
26,退ける,しりぞける,학술,2.987,2.46
27,期日,きじつ,법률,2.978,3.6
28,収支,しゅうし,행정백서,2.977,3.61
29,結び付ける,むすびつける,학술,2.972,2.79
30,定まる,さだまる,학술,2.957,2.38
31,合議,ごうぎ,법률,2.94,2.8
32,雇用,こよう,행정백서,2.926,4.45
33,心掛ける,こころがける,논설·행정,2.91,2.31
34,設ける,もうける,논설·행정,2.875,3.65
35,未だ,いまだ,논설·행정,2.874,4.04
36,均衡,きんこう,학술,2.869,3.52
37,幹線,かんせん,논설·행정,2.867,3.28
38,緩やか,ゆるやか,행정백서,2.865,3.64
39,押さえる,おさえる,논설·행정,2.838,3.23
40,財政,ざいせい,논설·행정,2.835,4.22
41,結び付き,むすびつき,학술,2.829,2.53
42,生かす,いかす,논설·행정,2.824,3.53
43,審議,しんぎ,논설·행정,2.815,4.18
44,取り締まり,とりしまり,법률,2.801,3.35
45,原子,げんし,논설·행정,2.792,4.07
46,徐々,じょじょ,행정백서,2.785,3.31
47,任す,まかす,논설·행정,2.782,2.17
48,控除,こうじょ,법률,2.782,3.53
49,内閣,ないかく,논설·행정,2.777,4.48
50,上昇,じょうしょう,행정백서,2.772,4.52
51,異議,いぎ,논설·행정,2.764,3.7
52,高まる,たかまる,행정백서,2.752,3.86
53,禁ずる,きんずる,논설·행정,2.751,2.58
54,国土,こくど,논설·행정,2.744,4.07
55,準ずる,じゅんずる,법률,2.744,2.97
56,顧みる,かえりみる,문학,2.723,2.19
57,返る,かえる,문학,2.719,2.79
58,実情,じつじょう,논설·행정,2.717,3.47
59,賄う,まかなう,논설·행정,2.712,2.98
60,庶務,しょむ,논설·행정,2.705,2.4
61,学説,がくせつ,학술,2.7,3.01
62,仕入れる,しいれる,행정백서,2.682,2.72
63,慎む,つつしむ,논설·행정,2.674,2.56
64,一向,いっこう,문학,2.663,2.51
65,着工,ちゃっこう,행정백서,2.663,3.19
66,出生,しゅっしょう,행정백서,2.661,3.83
67,凝らす,こらす,논설·행정,2.66,2.16
68,立法,りっぽう,논설·행정,2.657,3.62
69,備え付ける,そなえつける,법률,2.654,1.36
70,自転,じてん,논설·행정,2.648,2.89
71,改革,かいかく,논설·행정,2.639,4.38
72,有する,ゆうする,법률,2.638,4.03
73,重んずる,おもんずる,논설·행정,2.637,1.68
74,自ずから,おのずから,문학,2.633,1.88
75,詰る,なじる,문학,2.627,1.74
76,所得,しょとく,행정백서,2.62,4.22
77,指摘,してき,논설·행정,2.619,4.7
78,引き上げる,ひきあげる,논설·행정,2.608,3.53
79,決議,けつぎ,논설·행정,2.601,3.77
80,偏る,かたよる,논설·행정,2.597,2.77
81,深める,ふかめる,논설·행정,2.584,3.4
82,要する,ようする,논설·행정,2.576,3.82
83,扶養,ふよう,논설·행정,2.567,3.27
84,促進,そくしん,논설·행정,2.555,4.15
85,経費,けいひ,논설·행정,2.555,3.91
86,害する,がいする,법률,2.548,3.11
87,採決,さいけつ,논설·행정,2.543,3.41
88,冷やかす,ひやかす,문학,2.534,1.86
89,勤まる,つとまる,문학,2.534,1.82
90,残高,ざんだか,행정백서,2.503,3.56
91,基金,ききん,논설·행정,2.494,3.81
92,協定,きょうてい,논설·행정,2.492,4.14
93,交える,まじえる,논설·행정,2.491,2.52
94,担う,になう,논설·행정,2.485,3.84
95,保障,ほしょう,논설·행정,2.479,4.52
96,協議,きょうぎ,논설·행정,2.476,4.23
97,口頭,こうとう,법률,2.452,3.42
98,推進,すいしん,논설·행정,2.449,4.5
99,復興,ふっこう,논설·행정,2.441,4.27
100,理論,りろん,학술,2.439,4.56
