word,reading,편중도z,zipf,판정(keep/cut),사유
拵える,こしらえる,3.48,1.07,,
煙る,けむる,3.1,1.77,,
差し支える,さしつかえる,3.013,2.08,,
顧みる,かえりみる,2.723,2.19,,
返る,かえる,2.719,2.79,,
一向,いっこう,2.663,2.51,,
自ずから,おのずから,2.633,1.88,,
詰る,なじる,2.627,1.74,,
冷やかす,ひやかす,2.534,1.86,,
勤まる,つとまる,2.534,1.82,,
放り出す,ほうりだす,2.284,2.38,,
草臥れる,くたびれる,2.284,0.0,,
帯びる,おびる,2.227,2.51,,
見合わせる,みあわせる,2.216,2.42,,
隔たる,へだたる,2.118,0.0,,
剥げる,はげる,2.047,1.67,,
欺く,あざむく,2.046,2.82,,
浅ましい,あさましい,2.008,2.24,,
膨れる,ふくれる,1.935,2.35,,
洒落る,しゃれる,1.904,0.0,,
演ずる,えんずる,1.865,2.66,,
心細い,こころぼそい,1.76,2.51,,
微か,かすか,1.741,3.0,,
無論,むろん,1.715,3.46,,
汽船,きせん,1.701,2.42,,
葬る,ほうむる,1.567,2.72,,
城下,じょうか,1.535,2.78,,
背く,そむく,1.452,2.69,,
大方,おおかた,1.44,3.21,,
冴える,さえる,1.434,2.4,,
察する,さっする,1.379,2.83,,
浸す,ひたす,1.292,2.58,,
遮る,さえぎる,1.288,3.03,,
ぶら下げる,ぶらさげる,1.28,2.49,,
俄か,にわか,1.28,2.62,,
傍ら,かたわら,1.248,3.37,,
腫れる,はれる,1.194,2.54,,
忽ち,たちまち,1.17,1.88,,
容易い,たやしい,1.137,2.75,,
余程,よほど,1.132,3.21,,
嘸,さぞ,1.092,0.0,,
些とも,ちっとも,1.091,1.65,,
空しい,むなしい,1.067,2.49,,
吊るす,つるす,1.033,2.81,,
