word,reading,판정,사유
拵える,こしらえる,cut,ateji·구어체 표기로 현대는 作る/かな 표기. 저학습가치
煙る,けむる,keep,현대에도 쓰이는 문어 동사(연기 나다/뿌옇다)
差し支える,さしつかえる,keep,현대 격식체 상용(差し支えありません)
顧みる,かえりみる,keep,현대 논설·격식체 상용 문어
返る,かえる,keep,기본 동사, 격식 문어에서 정상 사용
一向,いっこう,keep,一向に=전혀, 현대 문어 부사
自ずから,おのずから,keep,논설·수필 격식 부사(저절로)
詰る,なじる,keep,정당한 N1 동사(책망하다)
冷やかす,ひやかす,keep,현대 상용 동사(놀리다/구경만 하다)
勤まる,つとまる,keep,정당한 문어 동사(직을 감당하다)
放り出す,ほうりだす,keep,현대 상용 동사(내던지다/포기하다)
草臥れる,くたびれる,cut,くたびれる의 ateji 한자표기, 구어·저학습가치
帯びる,おびる,keep,현대 격식체 상용(띠다)
見合わせる,みあわせる,keep,뉴스 상용(운행 見合わせ=중단)
隔たる,へだたる,keep,정당한 문어 동사(隔たり 명사 상용)
剥げる,はげる,keep,현대 상용 동사(벗겨지다)
欺く,あざむく,keep,현대 격식체 상용(속이다)
浅ましい,あさましい,keep,정당한 N1 형용사(비열하다)
膨れる,ふくれる,keep,현대 상용 동사(부풀다)
洒落る,しゃれる,keep,お洒落 등 한자표기 상용, 학습가치 있음
演ずる,えんずる,keep,演じる의 격식형, 정당한 문어
心細い,こころぼそい,keep,상용 형용사(불안하다)
微か,かすか,keep,현대 상용(かすか/微か)
無論,むろん,keep,격식 문어 부사(물론), 논설에서 사용
汽船,きせん,cut,시대에 뒤진 명사(증기선). 현대는 船/フェリー
葬る,ほうむる,keep,현대 격식체 상용(장사지내다/묻어버리다)
城下,じょうか,cut,城下町 한정 역사어, 시대에 뒤진 명사
背く,そむく,keep,현대 격식체 상용(어기다)
大方,おおかた,keep,격식 부사(대개/아마)
冴える,さえる,keep,현대 상용(頭が冴える/冴えない)
察する,さっする,keep,현대 격식체 상용(헤아리다)
浸す,ひたす,keep,현대 상용 동사(담그다)
遮る,さえぎる,keep,현대 격식체 상용(가로막다)
ぶら下げる,ぶらさげる,keep,현대 상용 동사(매달다)
俄か,にわか,cut,현대엔 かな(にわか) 표기, 시대에 뒤진 한자 부사
傍ら,かたわら,keep,격식 문어(傍ら=곁/~하는 한편)
腫れる,はれる,keep,현대 상용 동사(붓다)
忽ち,たちまち,cut,현대엔 かな 표기, 고어적 한자 부사(순식간에)
容易い,たやすい,keep,정당한 형용사(쉽다). 원본 reading 'たやしい'는 오기(→たやすい)
余程,よほど,keep,고빈도 격식 부사(꽤/상당히), 학습가치 있음
嘸,さぞ,cut,さぞ의 폐어적 한자표기, 현대 미사용
些とも,ちっとも,cut,ちっとも의 고어 한자표기, 현대엔 かな
空しい,むなしい,keep,정당한 형용사(허무하다)
吊るす,つるす,keep,현대 상용 동사(매달다)
