word,reading,장르,편중도z,zipf
調停,ちょうてい,법률,0.992,3.57
革命,かくめい,학술,0.985,4.55
対立,たいりつ,학술,0.977,4.4
願書,がんしょ,법률,0.968,2.93
主任,しゅにん,법률,0.929,3.99
元来,がんらい,학술,0.922,3.22
空間,くうかん,학술,0.919,4.66
業績,ぎょうせき,행정백서,0.898,4.06
語源,ごげん,학술,0.88,3.53
蓄積,ちくせき,행정백서,0.875,3.86
捜索,そうさく,법률,0.873,4.0
負債,ふさい,행정백서,0.872,3.75
欠乏,けつぼう,학술,0.869,2.99
写し,うつし,법률,0.862,3.67
退く,しりぞく,법률,0.862,3.11
脂肪,しぼう,학술,0.855,4.24
暴露,ばくろ,학술,0.85,4.06
没収,ぼっしゅう,법률,0.85,3.72
密度,みつど,학술,0.848,3.85
磁気,じき,학술,0.846,3.65
交わる,まじわる,학술,0.845,3.2
群,ぐん,학술,0.83,4.45
漠然,ばくぜん,학술,0.819,2.29
正規,せいき,행정백서,0.817,4.41
周期,しゅうき,학술,0.815,3.8
創造,そうぞう,학술,0.793,4.38
座標,ざひょう,학술,0.793,3.73
種,しゅ,학술,0.782,4.96
動力,どうりょく,학술,0.778,3.69
弁論,べんろん,법률,0.772,3.13
分業,ぶんぎょう,행정백서,0.77,3.0
自首,じしゅ,법률,0.77,3.17
邸宅,ていたく,법률,0.768,3.31
公然,こうぜん,법률,0.757,3.48
共和,きょうわ,학술,0.756,4.22
思考,しこう,학술,0.751,4.44
少数,しょうすう,학술,0.749,4.15
金庫,きんこ,법률,0.747,3.68
名称,めいしょう,학술,0.726,4.29
海流,かいりゅう,학술,0.72,3.0
理性,りせい,학술,0.708,3.9
設立,せつりつ,학술,0.696,4.39
鉄鋼,てっこう,행정백서,0.684,3.27
号,ごう,법률,0.681,5.19
直感,ちょっかん,학술,0.661,3.96
目録,もくろく,학술,0.659,3.53
結晶,けっしょう,학술,0.659,3.91
人体,じんたい,학술,0.656,3.95
連なる,つらなる,학술,0.656,3.01
創立,そうりつ,학술,0.648,3.65
付き,つき,법률,0.647,4.89
制する,せいする,학술,0.646,3.14
拘束,こうそく,학술,0.646,4.3
抑圧,よくあつ,학술,0.645,3.58
微量,びりょう,학술,0.639,3.24
富,とみ,학술,0.635,4.05
海抜,かいばつ,학술,0.635,3.02
有機,ゆうき,학술,0.63,4.01
吟味,ぎんみ,학술,0.621,3.31
試み,こころみ,학술,0.621,4.26
出題,しゅつだい,학술,0.611,3.6
放出,ほうしゅつ,학술,0.611,4.15
対抗,たいこう,법률,0.601,4.34
成熟,せいじゅく,학술,0.601,3.74
埋め込む,うめこむ,학술,0.588,3.05
所持,しょじ,법률,0.585,4.27
経路,けいろ,행정백서,0.57,3.96
略語,りゃくご,학술,0.568,3.06
到達,とうたつ,학술,0.563,4.22
修士,しゅうし,학술,0.562,3.49
善良,ぜんりょう,법률,0.56,3.43
対面,たいめん,행정백서,0.552,3.83
混同,こんどう,학술,0.55,3.74
在庫,ざいこ,행정백서,0.547,4.21
進展,しんてん,행정백서,0.545,3.95
雌,めす,학술,0.542,3.9
差異,さい,학술,0.529,3.71
繁殖,はんしょく,학술,0.528,3.95
反応,はんのう,학술,0.514,4.95
昆虫,こんちゅう,학술,0.504,3.9
