no,word,reading,genre,z,zipf,비고
1,緩める,ゆるめる,논설·행정,1.8,2.85,
2,着手,ちゃくしゅ,논설·행정,1.789,3.73,
3,主食,しゅしょく,논설·행정,1.788,3.48,
4,主体,しゅたい,논설·행정,1.787,4.11,
5,制約,せいやく,논설·행정,1.786,3.86,
6,公立,こうりつ,논설·행정,1.785,3.82,
7,立方,りっぽう,논설·행정,1.781,2.85,
8,文書,ぶんしょ,논설·행정,1.774,4.48,흔함(급수확인)
9,策,さく,논설·행정,1.774,4.48,흔함(급수확인)
10,規模,きぼ,논설·행정,1.773,4.75,흔함(급수확인)
11,瞑る,つぶる,논설·행정,1.77,2.31,
12,緊急,きんきゅう,논설·행정,1.768,4.64,흔함(급수확인)
13,聳える,そびえる,문학,1.006,2.06,
14,卑しい,いやしい,문학,0.995,3.01,
15,微笑,びしょう,문학,0.995,3.31,
16,嬢,じょう,문학,0.99,4.37,흔함(급수확인)
17,隠居,いんきょ,문학,0.977,3.18,
18,悉く,ことごとく,문학,0.964,2.81,
19,染みる,しみる,문학,0.953,2.75,
20,大人しい,おとなしい,문학,0.935,3.32,
